,text_orig,text_cor,quote,correction,tag,TRANS-ORIG,TRANS-COR,COMET22-ORIG,BLEU-ORIG,CHRF-ORIG,COMETKIWI-ORIG,COMETKIWI-COR
0,"Друг - это тот человек который прямо скажет мне когда я неправд, но дальшее поможет мне встать на правильный путь.","Друг - это тот человек, который прямо скажет мне когда я неправ, но дальше поможет мне встать на правильный путь.",неправд,неправ,Morph,"A friend is someone who will tell me straight up when I'm wrong, but further helps me get on the right path.","A friend is that person who will tell me straight up when I'm wrong, but further help me get on the right path.",0.8943025469779968,0.7061595846869692,84.09052098872989,0.7673258781433105,0.830597996711731
1,"Друг - это тот человек который прямо скажет мне когда я неправд, но дальшее поможет мне встать на правильный путь.","Друг - это тот человек, который прямо скажет мне когда я неправ, но дальше поможет мне встать на правильный путь.",дальшее,дальше,Com,"A friend is someone who will tell me straight up when I'm wrong, but further helps me get on the right path.","A friend is that person who will tell me straight up when I'm wrong, but further help me get on the right path.",0.8943025469779968,0.7061595846869692,84.09052098872989,0.7673258781433105,0.830597996711731
2,Мама готовить вкусно и я учился у нее.,Мама готовит вкусно и я учился у нее.,готовить,готовит,Ortho,My mom cooked deliciously and I learned from her.,My mom cooks deliciously and I learned from her.,0.9312432408332824,0.6606328636027614,89.95954000535625,0.8137329816818237,0.85608971118927
3,"Там мы говорем с друзами, делаем домиини здание вместе, и, пьём пиво или вино.","Там мы говорим с друзьями, делаем домашние задания вместе, и пьём пиво или вино.",говорем,говорим,Infl,"There we talk to Druze, make domini building together, and, drink beer or wine.","It's where we talk to friends, do homework together, and drink beer or wine.",0.5701241493225098,0.2658483576665877,56.67974087373378,0.6426509022712708,0.8654364943504333
4,"Там мы говорем с друзами, делаем домиини здание вместе, и, пьём пиво или вино.","Там мы говорим с друзьями, делаем домашние задания вместе, и пьём пиво или вино.",друзами,друзьями,Infl,"There we talk to Druze, make domini building together, and, drink beer or wine.","It's where we talk to friends, do homework together, and drink beer or wine.",0.5701241493225098,0.2658483576665877,56.67974087373378,0.6426509022712708,0.8654364943504333
5,"Там мы говорем с друзами, делаем домиини здание вместе, и, пьём пиво или вино.","Там мы говорим с друзьями, делаем домашние задания вместе, и пьём пиво или вино.",домиини,домашние,Morph ,"There we talk to Druze, make domini building together, and, drink beer or wine.","It's where we talk to friends, do homework together, and drink beer or wine.",0.5701241493225098,0.2658483576665877,56.67974087373378,0.6426509022712708,0.8654364943504333
6,"Там мы говорем с друзами, делаем домиини здание вместе, и, пьём пиво или вино.","Там мы говорим с друзьями, делаем домашние задания вместе, и пьём пиво или вино.",здание,задания,Ortho,"There we talk to Druze, make domini building together, and, drink beer or wine.","It's where we talk to friends, do homework together, and drink beer or wine.",0.5701241493225098,0.2658483576665877,56.67974087373378,0.6426509022712708,0.8654364943504333
7,"Я согласин, что есть читири качествы Nужно в друзья – честность, ъыть вежливый, юмор и оъщие интересы.","Я согласен, что у друзей должно быть четыре качества – честность, вежливость, юмор и общие интересы.",согласин,согласен,Ortho,"I agree that there are chitiri qualities Necessary in friends - honesty, to be polite, humor and common interests.","I agree that friends should have four qualities - honesty, courtesy, humor, and common interests.",0.7069149613380432,0.101824256461955,58.44174748784899,0.6781240701675415,0.8799002170562744
8,"Я согласин, что есть читири качествы Nужно в друзья – честность, ъыть вежливый, юмор и оъщие интересы.","Я согласен, что у друзей должно быть четыре качества – честность, вежливость, юмор и общие интересы.",есть,у друзей должно быть,Constr,"I agree that there are chitiri qualities Necessary in friends - honesty, to be polite, humor and common interests.","I agree that friends should have four qualities - honesty, courtesy, humor, and common interests.",0.7069149613380432,0.101824256461955,58.44174748784899,0.6781240701675415,0.8799002170562744
9,"Я согласин, что есть читири качествы Nужно в друзья – честность, ъыть вежливый, юмор и оъщие интересы.","Я согласен, что у друзей должно быть четыре качества – честность, вежливость, юмор и общие интересы.",читири,четыре,Misspell,"I agree that there are chitiri qualities Necessary in friends - honesty, to be polite, humor and common interests.","I agree that friends should have four qualities - honesty, courtesy, humor, and common interests.",0.7069149613380432,0.101824256461955,58.44174748784899,0.6781240701675415,0.8799002170562744
