,text_orig,text_cor,quote,correction,tag,TRANS-ORIG,TRANS-COR,COMET22-ORIG,BLEU-ORIG,CHRF-ORIG,COMETKIWI-ORIG,COMETKIWI-COR
0,"Друг - это тот человек который прямо скажет мне когда я неправд, но дальшее поможет мне встать на правильный путь.","Друг - это тот человек, который прямо скажет мне когда я неправ, но дальше поможет мне встать на правильный путь.",неправд,неправ,Morph,"A friend is someone who will honestly tell me when I'm wrong, but then help me get on the right path.","A friend is someone who will tell me directly when I am wrong, but then help me get back on the right path.",0.8827143311500549,0.545525041257844,74.03579502559748,0.780956506729126,0.8487511873245239
1,"Друг - это тот человек который прямо скажет мне когда я неправд, но дальшее поможет мне встать на правильный путь.","Друг - это тот человек, который прямо скажет мне когда я неправ, но дальше поможет мне встать на правильный путь.",дальшее,дальше,Com,"A friend is someone who will honestly tell me when I am wrong, but will also help me get back on the right path.","A friend is someone who will honestly tell me when I'm wrong, but then help me get back on the right track.",0.8989546895027161,0.6425503166524515,81.13544713363942,0.7817956209182739,0.8594629764556885
2,Мама готовить вкусно и я учился у нее.,Мама готовит вкусно и я учился у нее.,готовить,готовит,Ortho,Mom cooks deliciously and I learned from her.,Mom cooks deliciously and I learned from her.,0.9574562907218932,1.0,100.0,0.8264660239219666,0.8519963622093201
3,"Там мы говорем с друзами, делаем домиини здание вместе, и, пьём пиво или вино.","Там мы говорим с друзьями, делаем домашние задания вместе, и пьём пиво или вино.",говорем,говорим,Infl,"There we talk with friends, do homework together, and drink beer or wine.","There we talk with friends, do homework together, and drink beer or wine.",0.9554933309555054,1.0,100.0,0.599422812461853,0.8705164194107056
4,"Там мы говорем с друзами, делаем домиини здание вместе, и, пьём пиво или вино.","Там мы говорим с друзьями, делаем домашние задания вместе, и пьём пиво или вино.",друзами,друзьями,Infl,"There we talk with friends, do homework together, and drink beer or wine.","There we talk with friends, do homework together, and drink beer or wine.",0.9554933309555054,1.0,100.0,0.599422812461853,0.8705164194107056
5,"Там мы говорем с друзами, делаем домиини здание вместе, и, пьём пиво или вино.","Там мы говорим с друзьями, делаем домашние задания вместе, и пьём пиво или вино.",домиини,домашние,Morph ,"There we talk with friends, do homework together, and drink beer or wine.","There we talk with friends, do homework together, and drink beer or wine.",0.9554933309555054,1.0,100.0,0.599422812461853,0.8705164194107056
6,"Там мы говорем с друзами, делаем домиини здание вместе, и, пьём пиво или вино.","Там мы говорим с друзьями, делаем домашние задания вместе, и пьём пиво или вино.",здание,задания,Ortho,"There we talk with friends, do homework together, and drink beer or wine.","There we talk with friends, do homework together, and drink beer or wine.",0.9554933309555054,1.0,100.0,0.599422812461853,0.8705164194107056
7,"Я согласин, что есть читири качествы Nужно в друзья – честность, ъыть вежливый, юмор и оъщие интересы.","Я согласен, что у друзей должно быть четыре качества – честность, вежливость, юмор и общие интересы.",согласин,согласен,Ortho,"I agree that there are four qualities needed in friends: honesty, being polite, humor, and common interests.","I agree that friends should have four qualities – honesty, politeness, humor, and shared interests.",0.8930205702781677,0.0891001787898007,59.85243560060631,0.8002620935440063,0.8809653520584106
8,"Я согласин, что есть читири качествы Nужно в друзья – честность, ъыть вежливый, юмор и оъщие интересы.","Я согласен, что у друзей должно быть четыре качества – честность, вежливость, юмор и общие интересы.",есть,у друзей должно быть,Constr,"I agree that there are four qualities needed in friends: honesty, being polite, humor, and shared interests.","I agree that friends should have four qualities: honesty, politeness, humor, and common interests.",0.8902599215507507,0.0805111000764593,60.66883534066139,0.790072500705719,0.882632851600647
9,"Я согласин, что есть читири качествы Nужно в друзья – честность, ъыть вежливый, юмор и оъщие интересы.","Я согласен, что у друзей должно быть четыре качества – честность, вежливость, юмор и общие интересы.",читири,четыре,Misspell,"I agree that there are four qualities needed in friends: honesty, being polite, humor, and common interests.","I agree that friends should have four qualities – honesty, politeness, humor, and shared interests.",0.8930205702781677,0.0891001787898007,59.85243560060631,0.8048523664474487,0.8809653520584106
